"","GPNJ7M_10_sample_2B","GPNJ7M_11_sample_2C","GPNJ7M_12_sample_2D","GPNJ7M_13_sample_2E","GPNJ7M_14_sample_2F","GPNJ7M_15_sample_2G","GPNJ7M_16_sample_2H","GPNJ7M_1_sample_1A","GPNJ7M_2_sample_1B","GPNJ7M_3_sample_1C","GPNJ7M_4_sample_1D","GPNJ7M_5_sample_1E","GPNJ7M_6_sample_1F","GPNJ7M_7_sample_1G","GPNJ7M_8_sample_1H","GPNJ7M_9_sample_2A"
"PTI98_010893",5.42875152291783,6.0241070131165,6.73235422225085,3.56987817648774,4.32888460441754,4.59879760819633,4.55415316923192,4.72866604877649,4.41290443387389,4.55911037151993,4.60411717491724,5.16236847762691,5.45265292295567,5.02918764330002,4.65925580359302,4.30485905152655
"PTI98_010910",5.55021514841498,3.2155626093268,3.40343437623309,4.09679554709464,3.25989312950969,4.05566244720604,3.26981312741834,3.42820739715706,3.63947691761807,-0.435236143934275,4.32401357515109,3.59617910560508,4.5832023275259,4.35255230794911,4.45044404718787,3.77061047504498
"PTI98_010927",3.67625884096381,1.98701657709623,3.79932261681224,3.56987817648774,6.60032642113563,4.99223422043831,5.8487786138484,2.57535691676897,4.07761500606987,-0.435236143934275,3.97585541987733,4.5093547474249,2.76599995870132,4.6696614196159,4.11448569525906,3.77061047504498
"PTI98_010946",3.67625884096381,2.99421602527867,3.71012912026891,4.09679554709464,4.69650994603891,4.31384779130008,4.10036887547475,3.41532090712404,4.07761500606987,3.6431958178817,3.09765900936831,4.07416968515971,3.61369429179039,4.06307474224801,3.60950432313633,2.13988040407563
"PTI98_010950",3.16724568663611,4.04686491393463,3.40343437623309,4.09679554709464,1.87196421417127,3.17152736493002,3.24485174564876,3.55106085626997,3.35716568457202,-0.435236143934275,3.32170940879807,3.85498502105491,4.06663181095858,3.3119198364094,3.0383748239701,3.40382873881287
"PTI98_010955",3.67625884096381,2.99421602527867,3.40343437623309,-0.435236143934275,2.28171269733083,2.98497436653077,3.03495549313596,3.63118466918725,1.81948386060291,-0.435236143934275,3.68579444780808,4.43221648407778,3.3830102146088,3.86085193336114,3.85605072567061,4.06242286201243
"PTI98_010962",3.16724568663611,3.40709052914367,3.51313291805831,-0.435236143934275,3.57542486080888,3.95815323961779,3.21302237493049,4.3032457132205,3.00488262121418,3.6431958178817,2.07284359130655,3.85498502105491,2.76599995870132,4.25689787112362,4.65925580359302,4.30485905152655
"PTI98_010974",5.15000854948688,5.12543130605821,5.1189343680676,5.88023026027883,5.31904792187321,6.64622031881713,5.25938188015888,4.54640770056172,6.48684177092635,5.1143707921869,5.3236829943975,5.16236847762691,4.47038899529952,4.91902122549373,4.24982627195736,4.85450351086614
"PTI98_010985",3.16724568663611,1.71352633728505,-0.435236143934275,-0.435236143934275,2.85399055322697,2.98497436653077,2.91312867697733,2.50326769475195,2.53493591875653,4.55911037151993,4.90886499938115,3.96875452321367,3.81232156664583,3.1066343258467,3.22614198999244,-0.435236143934275
"PTI98_010990",4.34801241239021,5.78765897612065,5.48347022965745,5.59864236135164,4.98912215816283,5.17665429906076,5.156662037885,4.3976775931684,5.64346323470125,4.55911037151993,4.90886499938115,4.84306196118031,5.64672002660829,4.64469688918343,4.55863195014618,5.56226711287305
"PTI98_010992",5.29610636613909,4.68485224724948,5.92013919932454,4.78474227422106,5.78326928606819,5.55510720089483,5.20893670382753,4.06905951104305,4.555177955718,3.6431958178817,4.76453481855151,4.71869623346359,4.52790034805246,4.91902122549373,4.37351982788303,4.512270436691
"PTI98_011020",3.16724568663611,2.99421602527867,3.15496962230676,2.72629527260855,2.59691650049087,2.77009060530788,3.40543703642573,4.10150836987199,-0.435236143934275,-0.435236143934275,4.21706185225431,4.35070878134765,3.71644530173349,4.02484385861475,3.91159212749954,4.06242286201243
"PTI98_011026",3.16724568663611,3.86359682005368,3.96262275579834,3.56987817648774,3.0713943606811,2.98497436653077,2.95233650975308,4.13324082232053,3.35716568457202,-0.435236143934275,1.43617407654287,3.73141391336032,3.9867628443069,3.92456351681688,3.79827303715296,3.40382873881287
"PTI98_011030",7.4550971446299,6.83621713843801,2.85371707192684,7.44104061593514,1.27396896495182,-0.435236143934275,0.149912501419626,1.96772758272772,-0.435236143934275,5.51421141575309,1.43617407654287,5.20933006110967,5.99118884961243,2.90954206213402,3.85605072567061,6.2235192435122
"PTI98_011037",-0.435236143934275,2.7317911424801,3.28460644398429,2.72629527260855,2.59691650049087,3.61820257303069,3.569978925411,3.77912613217229,3.00488262121418,-0.435236143934275,2.83153991602868,3.0910995409317,3.81232156664583,4.39809591589919,3.73807029612316,4.06242286201243
"PTI98_011048",3.16724568663611,3.79691186903517,2.4702091161562,3.56987817648774,4.4103044957481,4.59879760819633,4.71650404057331,3.27962544094933,3.35716568457202,3.6431958178817,3.51530387086723,3.73141391336032,2.76599995870132,3.74794626302324,3.60950432313633,4.06242286201243
"PTI98_011067",3.16724568663611,2.7317911424801,2.67501772166891,-0.435236143934275,4.32888460441754,3.61820257303069,4.72550729778104,3.63118466918725,2.53493591875653,-0.435236143934275,3.97585541987733,4.2643052858076,-0.435236143934275,4.49907387468958,5.44025073818039,2.90895748214966
"PTI98_011070",5.66223749661093,5.69936567255625,1.9384459375399,5.59864236135164,-0.435236143934275,-0.435236143934275,0.386807198812695,4.20217715729628,-0.435236143934275,3.6431958178817,-0.435236143934275,5.83635639290631,6.81050950033381,4.38307429933443,7.09771464438012,5.89389728666093
