"","GPNJ7M_11_sample_2C","GPNJ7M_12_sample_2D","GPNJ7M_14_sample_2F","GPNJ7M_15_sample_2G","GPNJ7M_16_sample_2H","GPNJ7M_1_sample_1A","GPNJ7M_2_sample_1B","GPNJ7M_4_sample_1D","GPNJ7M_5_sample_1E","GPNJ7M_6_sample_1F","GPNJ7M_7_sample_1G","GPNJ7M_8_sample_1H"
"AAD021_008137",4.0764444800277,2.81701832665094,4.06923902889389,2.97140156493069,4.57230703514324,4.22512662398051,0.393138807152526,4.00065551670751,4.41992962760212,3.36072870936351,4.00225550721874,4.60624237134047
"AAD021_008144",2.21610893827559,1.89440764177741,2.09055598267484,0.393138807152526,2.28871815398024,4.18777847267039,0.393138807152526,0.393138807152526,4.41992962760212,5.32519229286301,3.84036086044375,3.22947741742413
"AAD021_008145",0.393138807152526,1.89440764177741,0.393138807152526,0.393138807152526,1.18145079410949,4.24949369152314,0.393138807152526,0.393138807152526,4.41992962760212,4.86467396880609,3.57728639331107,3.06454843627952
"AAD021_008148",3.07018613699193,1.89440764177741,3.09375155748527,2.00301407994545,2.7935184985776,4.53344125114174,0.393138807152526,3.40002281722952,3.91508274581449,4.61088153843418,3.69607208699353,3.63190692169442
"AAD021_008153",2.84157593141221,3.3552181548587,2.68561020213455,3.74095547899667,3.03154904868839,4.11001637424609,2.62067796923318,3.40002281722952,4.55511329922266,3.11752393981896,4.27950023185751,3.37685848148295
"AAD021_008157",4.26861957396219,5.0053805829879,5.68633843192487,2.97140156493069,5.51087907133773,4.94414936119017,3.33109351143865,5.33455400679452,4.79237392114033,4.94019804304146,4.20183109209145,4.349011248494
"AAD021_008158",5.47350506294284,6.05222716069665,4.2353698270337,3.74095547899667,4.67831440600279,4.67483403207033,4.66586884887961,4.22655402767029,4.67864128235756,5.01195126113372,4.14760122368514,4.48339200451416
"AAD021_008164",4.17576353566838,4.6941150170874,3.40792573070434,3.27756063609224,2.89110772117858,3.71314804217662,3.33109351143865,3.40002281722952,4.27063895736491,3.56776881173124,3.9713179650767,4.27677218210017
"AAD021_008166",5.21919335795135,3.56206352174994,2.09055598267484,4.08934415800992,3.63252624604021,3.64087922891853,3.33109351143865,3.40002281722952,4.10391592131074,3.36072870936351,4.3769017768214,3.51016369397334
"AAD021_008167",4.65954642317376,4.2960702414643,4.2353698270337,4.36906796187228,3.39249281209069,3.91014716612207,4.66586884887961,4.22655402767029,4.55511329922266,4.18265213321939,4.22819273307993,4.54613272845086
"AAD021_008168",3.26610045633293,3.90225637292884,3.88115099911345,3.74095547899667,3.49173815039423,4.69267576905587,3.79861771303625,4.59315467557982,3.69724485078838,4.18265213321939,4.17497365895675,3.06454843627952
"AAD021_008174",3.85425238124928,2.43786452024297,2.68561020213455,3.27756063609224,3.36415832614586,4.42010288378519,3.33109351143865,4.59315467557982,4.79237392114033,4.05204180875874,4.03253492040759,4.9685060228871
"AAD021_008182",3.43776936621183,2.81701832665094,2.68561020213455,2.97140156493069,2.6566104084303,5.55372816684329,0.393138807152526,5.33455400679452,3.91508274581449,5.2079462963942,2.59834275572348,3.84781002251846
"AAD021_008196",3.85425238124928,2.81701832665094,3.09375155748527,3.27756063609224,4.15955689960006,4.77870238791734,2.62067796923318,4.59315467557982,4.79237392114033,4.94019804304146,4.69253453525358,5.14073843010968
"AAD021_008198",5.02066580309763,5.07369790367742,5.05040189568789,3.52827685908055,4.21814992532923,5.78711532034994,3.79861771303625,4.42155595573757,4.99593776997874,5.58230346424233,5.73449828960102,5.39998173722646
"AAD021_008202",4.26861957396219,4.17648613562653,3.66427996827843,4.36906796187228,4.15955689960006,5.11250095722195,4.14946488985269,4.74639729221719,3.12353916207889,5.14553519125435,5.07207978893492,4.12031932029461
"AAD021_008203",2.5660512401224,3.11227138339045,4.75559568073262,3.52827685908055,5.13485361855983,2.54032441213065,4.86777549021084,2.3154883718827,2.71247592773776,4.61088153843418,2.59834275572348,2.39841515599898
"AAD021_008207",4.9100794310571,5.98294462032049,5.89842591299145,6.51415028973764,6.77694092137452,4.86773539030198,6.15136555008904,5.01112662576803,5.47568673121828,4.94019804304146,5.39544116023385,5.61959342571369
"AAD021_008208",6.5464086093707,6.67434144618918,4.64215185021664,4.80397681511126,5.43688377677832,7.20758046280096,5.04477331559687,5.95298876059197,5.93719132373158,5.62864376301503,6.42070544316023,6.30209821846355
"AAD021_008213",5.02066580309763,4.93365468683812,5.36800675816984,5.58176167070152,5.66560860901454,4.4830323389021,5.04477331559687,4.74639729221719,4.79237392114033,3.74821781440161,5.418425864887,4.54613272845086
"AAD021_008225",8.620444398839,8.14229665592698,7.64573246182134,7.73352347612315,6.90828071065276,6.53603519113577,7.61939245701592,6.78815087649847,6.62941439047898,6.3901066373897,6.78116009370851,6.22772100744852
"AAD021_008227",5.47350506294284,5.75254989489927,5.36800675816984,5.46814084273011,5.61913944317978,4.91406953749463,5.04477331559687,5.82145672873382,5.66647210358229,5.32519229286301,4.74810727838007,5.09957503478522
"AAD021_008233",4.43799005759036,3.56206352174994,3.40792573070434,3.27756063609224,3.64038553523377,4.45191318226466,4.66586884887961,5.67670288831002,4.27063895736491,4.94019804304146,4.32902989095823,4.60624237134047
"AAD021_008238",3.59067447202138,3.3552181548587,5.36800675816984,5.20985418538364,5.14856109617082,4.16232569946776,5.34436974042002,5.12720355408548,3.91508274581449,3.11752393981896,4.22819273307993,4.54613272845086
"AAD021_008239",6.45103952775977,3.90225637292884,3.09375155748527,3.74095547899667,3.99245054398539,4.22512662398051,5.34436974042002,4.42155595573757,4.41992962760212,4.51522283544502,4.57448380651567,2.65930866357545
"AAD021_008240",4.96643569741163,4.17648613562653,2.09055598267484,3.92579970061594,4.02866899092849,3.92539290181468,3.79861771303625,4.59315467557982,5.08784044491864,3.56776881173124,4.27950023185751,3.37685848148295
"AAD021_008253",4.58943057388956,4.508869304133,3.66427996827843,5.13732945285952,4.17577676796201,4.02776815864743,3.33109351143865,4.22655402767029,4.10391592131074,3.36072870936351,4.72982102307198,4.6639339296443
"AAD021_008254",4.0764444800277,3.90225637292884,3.40792573070434,2.97140156493069,3.57624930640008,4.38756980475066,4.4308238594698,3.73199947889195,4.10391592131074,4.41271972641239,4.03253492040759,4.12031932029461
"AAD021_008255",5.02066580309763,4.60448077708536,4.95869150023189,4.6029456750894,5.02022105062833,4.46236152630911,4.66586884887961,4.00065551670751,4.27063895736491,4.94019804304146,4.46809474242736,4.60624237134047
"AAD021_008258",5.39362363889802,5.26110432087205,4.38417828719491,5.58176167070152,5.62306963740564,7.15399056421812,5.04477331559687,6.1301989376915,6.77456750382539,6.18841502074001,6.58704552808455,6.86506693864956
"AAD021_008262",1.7221624713627,1.89440764177741,0.393138807152526,2.00301407994545,1.88805699672145,3.78190212643119,0.393138807152526,5.12720355408548,2.11206802401087,0.393138807152526,3.20037124552991,5.81011271269513
"AAD021_008268",4.65954642317376,4.2960702414643,2.68561020213455,0.393138807152526,1.8577778958995,3.10566937302069,0.393138807152526,3.40002281722952,2.71247592773776,3.90823683836098,3.30455949784205,3.06454843627952
"AAD021_008284",6.21597455187743,6.40983453647626,5.13661291240056,4.98029348803901,4.97783885867263,4.06948552776332,5.59222938410862,5.33455400679452,4.41992962760212,4.30230811478686,4.44583513195523,4.48339200451416
"AAD021_008288",7.22559765559658,6.73878914177436,6.20784266583457,6.48525402445584,5.86957842671179,5.55859215623603,7.34337778290118,6.51777773954014,5.88696368892754,5.87916382170869,5.88228775944097,5.95549429738439
"AAD021_008296",4.72639513984892,4.17648613562653,4.64215185021664,2.97140156493069,3.78903442545724,3.78190212643119,4.14946488985269,3.40002281722952,3.43958375527462,3.36072870936351,3.57728639331107,3.94456388983438
"AAD021_008300",4.43799005759036,2.81701832665094,3.09375155748527,3.92579970061594,3.15891925989732,4.30865352685099,2.62067796923318,4.74639729221719,4.55511329922266,4.78495881075981,3.87424935981263,4.27677218210017
"AAD021_008301",4.17576353566838,3.56206352174994,3.09375155748527,3.52827685908055,3.04362837386007,4.60116222486669,3.33109351143865,3.40002281722952,3.43958375527462,4.18265213321939,5.21025698711817,2.87705702514006
"AAD021_008306",5.54918761016194,5.13891686847725,5.36800675816984,3.92579970061594,4.76282429265719,4.95157198170172,3.79861771303625,5.12720355408548,4.89775720687189,4.86467396880609,5.87400138509772,5.01353619134355
"AAD021_008307",4.17576353566838,3.90225637292884,4.86072915875452,4.36906796187228,4.17577676796201,3.79858140351914,2.62067796923318,2.96362573277677,4.41992962760212,3.56776881173124,4.14760122368514,3.74397202605415
