"gene","module"
"AAD021_010753","blue"
"AAD021_010756","brown"
"AAD021_010760","grey60"
"AAD021_010776","pink"
"AAD021_010779","salmon"
"AAD021_010780","green"
"AAD021_010785","blue"
"AAD021_010789","grey"
"AAD021_010790","turquoise"
"AAD021_010831","white"
"AAD021_009507","darkturquoise"
"AAD021_009511","darkturquoise"
"AAD021_009512","pink"
"AAD021_009515","green"
"AAD021_009516","blue"
"AAD021_009517","brown"
"AAD021_009526","red"
"AAD021_009528","tan"
"AAD021_009529","lightcyan"
"AAD021_009530","magenta"
"AAD021_009535","red"
"AAD021_009536","yellow"
"AAD021_009539","lightgreen"
"AAD021_009543","red"
"AAD021_009545","orange"
"AAD021_009558","purple"
"AAD021_009576","blue"
"AAD021_009577","darkred"
"AAD021_009581","blue"
"AAD021_009582","brown"
"AAD021_009587","salmon"
"AAD021_009588","turquoise"
"AAD021_009596","grey"
"AAD021_009597","royalblue"
"AAD021_009598","green"
"AAD021_009599","royalblue"
"AAD021_009600","lightyellow"
"AAD021_009601","blue"
"AAD021_009612","grey"
"AAD021_009613","black"
"AAD021_009620","blue"
"AAD021_009621","turquoise"
"AAD021_009622","brown"
"AAD021_009625","grey"
"AAD021_009627","blue"
"AAD021_009629","yellow"
"AAD021_009631","blue"
"AAD021_009638","midnightblue"
"AAD021_009639","salmon"
"AAD021_009640","turquoise"
"AAD021_009642","blue"
"AAD021_009643","steelblue"
"AAD021_009648","grey"
"AAD021_009662","grey"
"AAD021_009663","purple"
"AAD021_009664","darkgreen"
"AAD021_009665","blue"
"AAD021_009666","turquoise"
"AAD021_009669","turquoise"
"AAD021_009672","blue"
"AAD021_009681","magenta"
"AAD021_009682","black"
"AAD021_009683","greenyellow"
"AAD021_009689","grey"
"AAD021_009690","purple"
"AAD021_009691","darkgreen"
"AAD021_009692","turquoise"
"AAD021_009693","skyblue3"
"AAD021_009694","brown"
"AAD021_009695","tan"
"AAD021_009697","yellow"
"AAD021_009708","paleturquoise"
"AAD021_009712","purple"
"AAD021_009713","white"
"AAD021_009714","pink"
"AAD021_009719","yellow"
"AAD021_009723","pink"
"AAD021_009725","cyan"
"AAD021_009726","tan"
"AAD021_009727","green"
"AAD021_009728","black"
"AAD021_009729","orangered4"
"AAD021_009731","red"
"AAD021_009732","darkgrey"
"AAD021_009733","darkgreen"
"AAD021_009735","yellow"
"AAD021_009737","salmon"
"AAD021_009741","white"
"AAD021_009742","turquoise"
"AAD021_009743","turquoise"
"AAD021_009744","turquoise"
"AAD021_009745","blue"
"AAD021_009750","grey60"
"AAD021_009752","darkmagenta"
"AAD021_009753","purple"
"AAD021_009757","turquoise"
"AAD021_009770","blue"
"AAD021_009772","grey60"
"AAD021_009777","red"
"AAD021_009779","turquoise"
"AAD021_009782","greenyellow"
"AAD021_009784","brown"
"AAD021_009786","green"
"AAD021_009787","blue"
"AAD021_009788","pink"
"AAD021_009789","greenyellow"
"AAD021_009790","orange"
"AAD021_009791","turquoise"
"AAD021_009792","lightcyan"
"AAD021_009797","grey"
"AAD021_009798","skyblue3"
"AAD021_009814","midnightblue"
"AAD021_009815","royalblue"
"AAD021_009842","yellowgreen"
"AAD021_009847","midnightblue"
"AAD021_009862","blue"
"AAD021_009865","black"
"AAD021_009866","brown"
"AAD021_009867","blue"
"AAD021_009869","cyan"
"AAD021_009871","brown"
"AAD021_009872","tan"
"AAD021_009873","skyblue3"
"AAD021_009874","green"
"AAD021_009879","brown"
"AAD021_009880","magenta"
"AAD021_009884","skyblue3"
"AAD021_009887","yellowgreen"
"AAD021_009890","darkred"
"AAD021_009908","purple"
"AAD021_009909","greenyellow"
"AAD021_009912","blue"
"AAD021_009927","blue"
"AAD021_009929","turquoise"
"AAD021_009931","salmon"
"AAD021_009934","tan"
"AAD021_009935","greenyellow"
"AAD021_009936","brown"
"AAD021_009937","orange"
"AAD021_009939","skyblue"
"AAD021_009940","yellowgreen"
"AAD021_009944","green"
"AAD021_009960","blue"
"AAD021_009968","darkmagenta"
"AAD021_009973","lightyellow"
"AAD021_009975","yellow"
"AAD021_009976","pink"
"AAD021_009977","blue"
"AAD021_009978","magenta"
"AAD021_009979","blue"
"AAD021_009980","greenyellow"
"AAD021_009983","skyblue"
"AAD021_009984","lightcyan"
"AAD021_009988","turquoise"
"AAD021_009989","darkgrey"
"AAD021_009991","green"
"AAD021_009992","lightgreen"
"AAD021_009993","red"
"AAD021_009994","black"
"AAD021_009995","green"
"AAD021_009999","brown"
"AAD021_010000","turquoise"
"AAD021_010029","royalblue"
"AAD021_010030","purple"
"AAD021_010040","pink"
"AAD021_010042","sienna3"
"AAD021_010065","cyan"
"AAD021_010066","steelblue"
"AAD021_010068","darkgreen"
"AAD021_010069","white"
"AAD021_010075","cyan"
"AAD021_010079","royalblue"
"AAD021_010085","royalblue"
"AAD021_010086","green"
"AAD021_010091","darkmagenta"
"AAD021_010096","blue"
"AAD021_010109","black"
"AAD021_010112","salmon"
"AAD021_010133","tan"
"AAD021_007558","blue"
"AAD021_007559","plum1"
"AAD021_007560","grey60"
"AAD021_007561","magenta"
"AAD021_007589","green"
"AAD021_007609","plum1"
"AAD021_007611","magenta"
"AAD021_007616","darkturquoise"
"AAD021_007617","tan"
"AAD021_007619","turquoise"
"AAD021_007620","brown"
"AAD021_007621","yellow"
"AAD021_007622","blue"
"AAD021_007628","violet"
"AAD021_007638","turquoise"
"AAD021_007640","plum1"
"AAD021_007641","yellow"
"AAD021_007647","grey60"
"AAD021_007649","midnightblue"
"AAD021_007652","darkturquoise"
"AAD021_007657","darkturquoise"
"AAD021_007659","blue"
"AAD021_007660","darkgrey"
"AAD021_007663","blue"
"AAD021_007675","red"
"AAD021_007676","tan"
"AAD021_007678","blue"
"AAD021_007679","sienna3"
"AAD021_007680","darkgreen"
"AAD021_007684","yellowgreen"
"AAD021_007685","turquoise"
"AAD021_007686","pink"
"AAD021_007687","turquoise"
"AAD021_007695","turquoise"
"AAD021_007696","cyan"
"AAD021_007699","brown"
"AAD021_007700","purple"
"AAD021_007708","blue"
"AAD021_007712","yellow"
"AAD021_007714","lightgreen"
"AAD021_007719","grey"
"AAD021_007720","red"
"AAD021_007722","darkred"
"AAD021_007728","green"
"AAD021_007730","royalblue"
"AAD021_007731","greenyellow"
"AAD021_007734","green"
"AAD021_007736","turquoise"
"AAD021_007738","lightyellow"
"AAD021_007740","brown"
"AAD021_007743","turquoise"
"AAD021_007744","brown"
"AAD021_007750","tan"
"AAD021_007751","turquoise"
"AAD021_007752","midnightblue"
"AAD021_007754","cyan"
"AAD021_007755","lightgreen"
"AAD021_007756","pink"
"AAD021_007757","blue"
"AAD021_007758","turquoise"
"AAD021_007760","darkturquoise"
"AAD021_007763","green"
"AAD021_007764","plum1"
"AAD021_007766","mediumpurple3"
"AAD021_007771","magenta"
"AAD021_007774","darkturquoise"
"AAD021_007778","greenyellow"
"AAD021_007780","blue"
"AAD021_007781","brown"
"AAD021_007784","darkred"
"AAD021_007785","darkmagenta"
"AAD021_007787","turquoise"
"AAD021_007788","blue"
